index,sentiment:hate,sentiment:hatenor,sentiment:neg,sentiment:negnor,sentiment:pos,sentiment:posnor
51,1,0.090909091,0,0,0,0
52,1,0.047619048,0,0,1,0.047619048
53,1,0.125,0,0,1,0.125
54,0,0,0,0,2,0.090909091
55,1,0.05,0,0,1,0.05
56,1,0.035714286,2,0.071428571,0,0
57,0,0,0,0,0,0
58,1,0.083333333,1,0.083333333,1,0.083333333
59,1,0.076923077,1,0.076923077,0,0
60,1,0.045454545,1,0.045454545,0,0
61,1,0.142857143,1,0.142857143,0,0
62,2,0.117647059,0,0,1,0.058823529
63,1,0.166666667,0,0,1,0.166666667
64,2,0.166666667,1,0.083333333,0,0
65,1,0.043478261,1,0.043478261,0,0
66,0,0,0,0,1,0.2
67,0,0,0,0,0,0
68,1,0.111111111,2,0.222222222,1,0.111111111
69,2,0.153846154,2,0.153846154,0,0
70,0,0,1,0.076923077,1,0.076923077
71,1,0.111111111,2,0.222222222,1,0.111111111
72,1,0.083333333,0,0,0,0
73,1,0.045454545,3,0.136363636,0,0
74,1,0.071428571,1,0.071428571,0,0
75,0,0,0,0,1,0.125
76,0,0,2,0.181818182,0,0
77,1,0.033333333,3,0.1,0,0
78,1,0.125,0,0,0,0
79,0,0,2,0.117647059,0,0
80,1,0.071428571,0,0,0,0
81,2,0.076923077,2,0.076923077,2,0.076923077
82,1,0.2,1,0.2,0,0
83,0,0,1,0.071428571,1,0.071428571
84,1,0.047619048,2,0.095238095,1,0.047619048
85,1,0.5,1,0.5,0,0
87,1,0.076923077,1,0.076923077,0,0
88,1,0.142857143,2,0.285714286,0,0
89,1,0.2,1,0.2,0,0
90,1,0.076923077,0,0,0,0
91,1,0.2,0,0,1,0.2
92,1,0.071428571,1,0.071428571,0,0
93,0,0,1,0.0625,0,0
94,1,0.055555556,1,0.055555556,0,0
95,1,0.05,2,0.1,3,0.15
96,0,0,2,0.153846154,0,0
97,1,0.076923077,2,0.153846154,0,0
98,1,0.071428571,1,0.071428571,0,0
99,0,0,1,0.045454545,2,0.090909091
100,1,0.166666667,0,0,0,0
101,1,0.071428571,3,0.214285714,1,0.071428571
102,1,0.05,2,0.1,0,0
103,1,0.04,2,0.08,1,0.04
104,1,0.076923077,3,0.230769231,0,0
105,0,0,1,0.05,1,0.05
106,0,0,0,0,2,0.166666667
107,2,0.25,0,0,0,0
108,1,0.058823529,0,0,1,0.058823529
109,2,0.105263158,1,0.052631579,1,0.052631579
110,1,0.090909091,1,0.090909091,1,0.090909091
111,0,0,1,0.090909091,0,0
112,1,0.111111111,2,0.222222222,0,0
113,1,0.142857143,1,0.142857143,0,0
114,1,0.111111111,2,0.222222222,0,0
115,1,0.052631579,0,0,1,0.052631579
116,0,0,0,0,2,0.166666667
117,1,0.1,3,0.3,0,0
118,1,0.058823529,2,0.117647059,0,0
119,0,0,0,0,1,0.055555556
120,1,0.0625,2,0.125,0,0
121,0,0,0,0,1,0.071428571
122,1,0.090909091,0,0,1,0.090909091
123,0,0,2,0.111111111,0,0
124,1,0.1,0,0,0,0
125,0,0,1,0.0625,0,0
126,1,0.083333333,2,0.166666667,0,0
127,1,0.066666667,2,0.133333333,0,0
128,1,0.037037037,2,0.074074074,0,0
129,0,0,1,0.142857143,0,0
130,0,0,1,0.071428571,1,0.071428571
131,1,0.0625,0,0,0,0
132,1,0.043478261,4,0.173913043,1,0.043478261
133,1,0.043478261,3,0.130434783,2,0.086956522
134,1,0.076923077,1,0.076923077,0,0
135,0,0,0,0,0,0
136,2,0.181818182,2,0.181818182,1,0.090909091
137,1,0.166666667,1,0.166666667,0,0
138,2,0.111111111,2,0.111111111,1,0.055555556
139,0,0,1,0.066666667,1,0.066666667
141,1,0.041666667,2,0.083333333,1,0.041666667
142,0,0,1,0.083333333,1,0.083333333
143,0,0,1,0.04,0,0
144,0,0,1,0.090909091,0,0
145,2,0.285714286,2,0.285714286,0,0
146,0,0,4,0.210526316,0,0
147,1,0.076923077,2,0.153846154,0,0
148,1,0.037037037,4,0.148148148,0,0
149,0,0,0,0,1,0.076923077
150,0,0,1,0.066666667,0,0
151,2,0.105263158,1,0.052631579,1,0.052631579
152,1,0.0625,1,0.0625,1,0.0625
153,1,0.066666667,0,0,0,0
154,1,0.05,1,0.05,0,0
155,1,0.037037037,3,0.111111111,1,0.037037037
156,1,0.05,0,0,3,0.15
157,0,0,1,0.058823529,0,0
158,1,0.071428571,1,0.071428571,0,0
159,1,0.055555556,1,0.055555556,0,0
160,0,0,1,0.038461538,0,0
161,0,0,0,0,0,0
162,0,0,0,0,0,0
163,1,0.090909091,2,0.181818182,0,0
164,0,0,1,0.052631579,1,0.052631579
165,1,0.1,0,0,0,0
166,0,0,0,0,0,0
167,0,0,0,0,3,0.176470588
168,1,0.037037037,2,0.074074074,1,0.037037037
169,2,0.142857143,1,0.071428571,0,0
170,1,0.142857143,1,0.142857143,0,0
171,0,0,0,0,0,0
172,0,0,1,0.090909091,1,0.090909091
173,1,0.047619048,2,0.095238095,3,0.142857143
174,0,0,0,0,2,0.25
175,0,0,1,0.090909091,1,0.090909091
176,0,0,0,0,0,0
177,1,0.125,2,0.25,0,0
178,1,0.5,1,0.5,0,0
179,1,0.038461538,0,0,4,0.153846154
180,1,0.2,1,0.2,0,0
181,0,0,1,0.090909091,0,0
182,0,0,1,0.055555556,0,0
183,0,0,1,0.058823529,0,0
184,0,0,1,0.083333333,0,0
185,1,0.043478261,1,0.043478261,2,0.086956522
186,1,0.071428571,1,0.071428571,0,0
187,1,0.111111111,1,0.111111111,0,0
188,0,0,1,0.071428571,0,0
189,0,0,0,0,2,0.285714286
190,0,0,0,0,2,0.285714286
191,0,0,1,0.066666667,0,0
192,1,0.090909091,0,0,0,0
193,1,0.0625,3,0.1875,0,0
194,2,0.125,1,0.0625,1,0.0625
195,1,0.055555556,3,0.166666667,0,0
196,1,0.058823529,2,0.117647059,1,0.058823529
197,1,0.05,2,0.1,0,0
198,0,0,0,0,0,0
199,1,0.25,1,0.25,1,0.25
200,0,0,1,0.045454545,0,0
201,1,0.142857143,1,0.142857143,0,0
202,1,0.052631579,1,0.052631579,0,0
203,0,0,1,0.055555556,0,0
204,1,0.125,0,0,0,0
205,1,0.0625,2,0.125,0,0
206,1,0.047619048,2,0.095238095,2,0.095238095
207,0,0,3,0.176470588,1,0.058823529
208,0,0,2,0.142857143,1,0.071428571
209,1,0.111111111,1,0.111111111,0,0
210,0,0,1,0.111111111,1,0.111111111
211,1,0.076923077,2,0.153846154,0,0
212,1,0.055555556,1,0.055555556,0,0
213,1,0.125,0,0,1,0.125
214,1,0.043478261,1,0.043478261,1,0.043478261
215,1,0.076923077,0,0,0,0
216,1,0.0625,1,0.0625,0,0
217,1,0.1,1,0.1,0,0
218,0,0,2,0.111111111,0,0
219,1,0.1,0,0,0,0
220,1,0.04,2,0.08,0,0
221,1,0.05,0,0,1,0.05
222,0,0,1,0.166666667,0,0
223,0,0,0,0,0,0
224,1,0.052631579,2,0.105263158,0,0
225,0,0,1,0.2,0,0
226,0,0,0,0,2,0.166666667
227,1,0.2,1,0.2,0,0
228,1,0.058823529,3,0.176470588,0,0
229,2,0.086956522,3,0.130434783,0,0
230,0,0,1,0.058823529,1,0.058823529
231,1,0.047619048,0,0,1,0.047619048
232,1,0.071428571,1,0.071428571,0,0
233,2,0.142857143,3,0.214285714,1,0.071428571
234,0,0,0,0,1,0.090909091
235,1,0.076923077,3,0.230769231,0,0
236,0,0,1,0.076923077,0,0
237,1,0.038461538,3,0.115384615,1,0.038461538
238,0,0,0,0,1,0.047619048
239,0,0,2,0.1,0,0
240,0,0,0,0,0,0
241,1,0.2,2,0.4,0,0
242,0,0,1,0.071428571,1,0.071428571
243,1,0.05,2,0.1,0,0
244,1,0.076923077,0,0,0,0
245,1,0.166666667,0,0,1,0.166666667
246,1,0.083333333,1,0.083333333,0,0
247,1,0.142857143,1,0.142857143,1,0.142857143
248,1,0.058823529,1,0.058823529,0,0
250,0,0,3,0.3,0,0
251,0,0,1,0.076923077,0,0
252,0,0,1,0.25,0,0
253,1,0.083333333,1,0.083333333,0,0
254,1,0.076923077,1,0.076923077,1,0.076923077
255,1,0.041666667,0,0,1,0.041666667
256,2,0.117647059,2,0.117647059,0,0
257,1,0.066666667,0,0,2,0.133333333
258,0,0,1,0.055555556,2,0.111111111
259,1,0.090909091,1,0.090909091,0,0
260,2,1,1,0.5,0,0
261,1,0.041666667,0,0,2,0.083333333
262,1,0.166666667,0,0,0,0
263,1,0.166666667,1,0.166666667,0,0
264,1,0.0625,1,0.0625,0,0
265,1,0.047619048,1,0.047619048,1,0.047619048
266,0,0,1,0.045454545,1,0.045454545
267,0,0,1,0.090909091,0,0
268,1,0.052631579,3,0.157894737,0,0
269,2,0.166666667,2,0.166666667,0,0
270,1,0.111111111,1,0.111111111,0,0
271,0,0,0,0,0,0
272,0,0,3,0.214285714,0,0
273,1,0.090909091,0,0,0,0
274,1,0.333333333,0,0,1,0.333333333
275,1,0.076923077,2,0.153846154,0,0
276,1,0.111111111,2,0.222222222,0,0
277,0,0,0,0,1,0.090909091
278,1,0.05,1,0.05,1,0.05
279,0,0,1,0.0625,0,0
280,1,0.071428571,1,0.071428571,1,0.071428571
281,1,0.066666667,0,0,0,0
283,1,0.052631579,4,0.210526316,1,0.052631579
284,0,0,0,0,1,0.0625
285,1,0.142857143,0,0,1,0.142857143
286,1,0.045454545,1,0.045454545,0,0
287,0,0,0,0,0,0
288,0,0,0,0,2,0.166666667
289,1,0.166666667,1,0.166666667,1,0.166666667
290,0,0,2,0.105263158,1,0.052631579
291,1,0.052631579,1,0.052631579,1,0.052631579
292,1,0.043478261,0,0,0,0
293,1,0.041666667,3,0.125,2,0.083333333
294,1,0.1,0,0,1,0.1
295,1,0.037037037,1,0.037037037,1,0.037037037
296,1,0.055555556,3,0.166666667,1,0.055555556
297,1,0.045454545,1,0.045454545,1,0.045454545
298,1,0.04,1,0.04,1,0.04
299,1,0.076923077,2,0.153846154,0,0
300,1,0.058823529,0,0,0,0
301,1,0.076923077,1,0.076923077,0,0
302,0,0,0,0,0,0
304,1,0.045454545,1,0.045454545,0,0
305,1,0.037037037,0,0,0,0
306,0,0,1,0.083333333,0,0
307,0,0,1,0.142857143,1,0.142857143
308,1,0.0625,1,0.0625,3,0.1875
309,1,0.142857143,1,0.142857143,0,0
310,1,0.2,0,0,1,0.2
311,1,0.043478261,1,0.043478261,0,0
312,1,0.111111111,0,0,0,0
313,1,0.166666667,1,0.166666667,1,0.166666667
314,1,0.047619048,1,0.047619048,0,0
315,0,0,1,0.052631579,1,0.052631579
316,1,0.076923077,2,0.153846154,0,0
317,1,0.111111111,1,0.111111111,1,0.111111111
318,0,0,1,0.1,1,0.1
319,1,0.066666667,1,0.066666667,1,0.066666667
320,1,0.058823529,1,0.058823529,0,0
321,1,0.142857143,0,0,1,0.142857143
322,0,0,0,0,0,0
323,0,0,0,0,0,0
324,1,0.055555556,3,0.166666667,1,0.055555556
325,2,0.074074074,2,0.074074074,0,0
326,0,0,1,0.0625,0,0
327,1,0.090909091,1,0.090909091,0,0
328,0,0,0,0,0,0
329,1,0.076923077,0,0,2,0.153846154
330,1,0.076923077,4,0.307692308,0,0
331,1,0.090909091,0,0,1,0.090909091
332,1,0.066666667,0,0,1,0.066666667
333,1,0.0625,0,0,0,0
334,0,0,0,0,0,0
335,1,0.071428571,1,0.071428571,0,0
336,0,0,1,0.076923077,0,0
337,1,0.055555556,0,0,1,0.055555556
338,0,0,0,0,1,0.034482759
339,1,0.111111111,2,0.222222222,0,0
340,1,0.166666667,1,0.166666667,1,0.166666667
341,0,0,0,0,0,0
342,0,0,0,0,0,0
343,1,0.043478261,2,0.086956522,0,0
344,2,0.083333333,2,0.083333333,1,0.041666667
345,1,0.04,4,0.16,0,0
346,0,0,0,0,0,0
347,1,0.166666667,0,0,2,0.333333333
348,0,0,1,0.125,0,0
349,1,0.25,2,0.5,0,0
350,1,0.125,1,0.125,0,0
351,1,0.1,0,0,0,0
352,1,0.071428571,3,0.214285714,0,0
353,0,0,0,0,0,0
354,1,0.083333333,1,0.083333333,0,0
355,1,0.083333333,1,0.083333333,0,0
356,0,0,0,0,1,0.166666667
357,1,0.142857143,1,0.142857143,1,0.142857143
358,1,0.111111111,1,0.111111111,0,0
359,1,0.066666667,2,0.133333333,0,0
360,0,0,1,0.111111111,0,0
361,1,0.1,1,0.1,1,0.1
362,1,0.0625,4,0.25,1,0.0625
363,2,0.133333333,1,0.066666667,2,0.133333333
364,0,0,5,0.217391304,0,0
365,1,0.125,1,0.125,0,0
366,0,0,0,0,2,0.074074074
367,1,0.05,1,0.05,0,0
368,1,0.05,2,0.1,2,0.1
369,0,0,0,0,0,0
370,0,0,0,0,0,0
371,1,0.090909091,0,0,1,0.090909091
372,1,0.04,2,0.08,1,0.04
373,1,0.05,2,0.1,0,0
374,0,0,1,0.142857143,1,0.142857143
375,0,0,0,0,0,0
376,1,0.071428571,3,0.214285714,0,0
377,0,0,0,0,0,0
378,1,0.045454545,1,0.045454545,0,0
379,1,0.076923077,1,0.076923077,2,0.153846154
380,1,0.111111111,1,0.111111111,0,0
381,1,0.043478261,2,0.086956522,1,0.043478261
382,1,0.04,0,0,1,0.04
383,1,0.166666667,1,0.166666667,0,0
384,0,0,1,0.066666667,0,0
385,0,0,0,0,0,0
386,1,0.052631579,4,0.210526316,0,0
387,0,0,0,0,1,0.066666667
388,0,0,0,0,0,0
389,1,0.083333333,0,0,1,0.083333333
390,1,0.090909091,2,0.181818182,2,0.181818182
391,1,0.1,1,0.1,2,0.2
392,1,0.076923077,1,0.076923077,2,0.153846154
393,1,0.052631579,0,0,3,0.157894737
394,1,0.066666667,3,0.2,1,0.066666667
395,1,0.058823529,0,0,0,0
396,0,0,1,0.038461538,1,0.038461538
397,1,0.0625,1,0.0625,1,0.0625
398,1,0.071428571,2,0.142857143,1,0.071428571
399,1,0.090909091,1,0.090909091,1,0.090909091
400,1,0.090909091,0,0,0,0
401,1,0.090909091,2,0.181818182,0,0
402,2,0.142857143,0,0,3,0.214285714
403,1,0.055555556,0,0,1,0.055555556
404,1,0.055555556,0,0,0,0
405,0,0,0,0,1,0.076923077
406,1,0.047619048,3,0.142857143,0,0
407,1,0.058823529,1,0.058823529,1,0.058823529
408,1,0.111111111,2,0.222222222,2,0.222222222
409,1,0.166666667,1,0.166666667,0,0
411,3,0.5,3,0.5,0,0
412,1,0.142857143,1,0.142857143,1,0.142857143
413,0,0,0,0,0,0
414,1,0.066666667,1,0.066666667,0,0
415,2,0.153846154,0,0,3,0.230769231
416,1,0.1,1,0.1,1,0.1
417,1,0.066666667,1,0.066666667,0,0
418,1,0.083333333,1,0.083333333,0,0
419,0,0,0,0,0,0
420,1,0.333333333,0,0,0,0
421,0,0,0,0,1,0.2
422,1,0.083333333,3,0.25,0,0
423,2,0.25,1,0.125,1,0.125
424,1,0.05,2,0.1,1,0.05
425,1,0.125,1,0.125,0,0
426,1,0.1,1,0.1,0,0
427,1,0.083333333,0,0,0,0
428,1,0.125,2,0.25,0,0
429,1,0.032258065,1,0.032258065,1,0.032258065
430,0,0,1,0.1,1,0.1
431,2,0.066666667,2,0.066666667,0,0
432,0,0,1,0.25,0,0
433,1,0.125,0,0,0,0
434,0,0,0,0,1,0.111111111
435,1,0.038461538,3,0.115384615,0,0
436,1,0.142857143,1,0.142857143,0,0
437,2,0.105263158,2,0.105263158,1,0.052631579
438,0,0,1,0.071428571,0,0
439,1,0.058823529,1,0.058823529,0,0
440,0,0,1,0.038461538,1,0.038461538
441,1,0.076923077,2,0.153846154,0,0
442,0,0,1,0.04,2,0.08
443,1,0.043478261,3,0.130434783,0,0
444,1,0.076923077,0,0,0,0
445,1,0.066666667,2,0.133333333,0,0
446,1,0.2,2,0.4,0,0
447,1,0.125,0,0,1,0.125
448,1,0.125,1,0.125,0,0
449,1,0.111111111,1,0.111111111,1,0.111111111
450,0,0,0,0,1,0.076923077
451,1,0.083333333,4,0.333333333,0,0
452,1,0.125,2,0.25,1,0.125
453,1,0.045454545,1,0.045454545,3,0.136363636
454,1,0.0625,3,0.1875,0,0
455,0,0,0,0,0,0
456,1,0.111111111,2,0.222222222,1,0.111111111
457,1,0.111111111,0,0,0,0
458,0,0,1,0.047619048,1,0.047619048
460,1,0.111111111,1,0.111111111,0,0
461,0,0,0,0,1,0.05
462,1,0.0625,1,0.0625,0,0
463,1,0.090909091,1,0.090909091,1,0.090909091
464,1,0.032258065,3,0.096774194,1,0.032258065
465,0,0,0,0,1,0.034482759
466,1,0.05,0,0,0,0
467,1,0.2,0,0,0,0
468,0,0,0,0,0,0
469,1,0.142857143,1,0.142857143,0,0
470,0,0,0,0,0,0
471,1,0.142857143,2,0.285714286,1,0.142857143
473,2,0.071428571,3,0.107142857,1,0.035714286
474,1,0.083333333,0,0,1,0.083333333
475,1,0.2,1,0.2,0,0
476,1,0.066666667,0,0,0,0
477,1,0.083333333,0,0,0,0
478,0,0,0,0,1,0.076923077
479,1,0.05,1,0.05,0,0
480,0,0,0,0,0,0
481,1,0.066666667,0,0,0,0
482,1,0.055555556,4,0.222222222,0,0
483,2,0.095238095,3,0.142857143,1,0.047619048
484,1,0.090909091,0,0,0,0
485,1,0.083333333,1,0.083333333,0,0
486,3,0.1875,3,0.1875,0,0
487,1,0.037037037,1,0.037037037,2,0.074074074
488,1,0.111111111,1,0.111111111,0,0
489,2,0.083333333,1,0.041666667,0,0
490,1,0.090909091,1,0.090909091,0,0
491,1,0.032258065,1,0.032258065,1,0.032258065
492,1,0.058823529,2,0.117647059,1,0.058823529
493,1,0.05,1,0.05,0,0
494,1,0.045454545,0,0,3,0.136363636
495,2,0.08,0,0,0,0
496,1,0.041666667,1,0.041666667,2,0.083333333
497,1,0.04,2,0.08,0,0
498,1,0.041666667,3,0.125,0,0
499,1,0.1,1,0.1,1,0.1
500,1,0.090909091,1,0.090909091,0,0
501,1,0.125,1,0.125,0,0
502,0,0,0,0,0,0
503,1,0.066666667,1,0.066666667,0,0
504,1,0.125,0,0,0,0
505,1,0.037037037,1,0.037037037,1,0.037037037
506,1,0.058823529,1,0.058823529,1,0.058823529
507,0,0,2,0.142857143,0,0
508,1,0.1,1,0.1,0,0
509,1,0.043478261,3,0.130434783,0,0
510,1,0.076923077,2,0.153846154,0,0
511,1,0.25,3,0.75,0,0
513,1,0.076923077,1,0.076923077,1,0.076923077
514,1,0.076923077,0,0,0,0
515,1,0.047619048,2,0.095238095,0,0
516,1,0.05,2,0.1,0,0
517,0,0,1,0.111111111,0,0
518,1,0.1,0,0,0,0
519,1,0.045454545,2,0.090909091,2,0.090909091
520,1,0.034482759,6,0.206896552,0,0
521,1,0.111111111,1,0.111111111,0,0
522,3,0.333333333,0,0,0,0
523,0,0,0,0,0,0
524,0,0,0,0,0,0
525,1,0.041666667,0,0,2,0.083333333
526,1,0.071428571,1,0.071428571,0,0
527,0,0,1,0.111111111,0,0
528,1,0.090909091,1,0.090909091,1,0.090909091
529,1,0.0625,1,0.0625,2,0.125
530,1,0.1,0,0,1,0.1
531,1,0.071428571,2,0.142857143,1,0.071428571
532,0,0,1,0.034482759,0,0
533,1,0.037037037,2,0.074074074,0,0
534,0,0,1,0.043478261,2,0.086956522
535,1,0.034482759,2,0.068965517,0,0
536,1,0.043478261,2,0.086956522,0,0
537,0,0,0,0,0,0
538,1,0.04,0,0,1,0.04
539,1,0.035714286,3,0.107142857,1,0.035714286
540,1,0.045454545,1,0.045454545,0,0
541,1,0.076923077,1,0.076923077,2,0.153846154
542,2,0.117647059,2,0.117647059,0,0
543,1,0.142857143,0,0,0,0
544,1,0.333333333,0,0,0,0
545,0,0,0,0,0,0
546,0,0,1,0.125,0,0
547,0,0,2,0.095238095,1,0.047619048
548,0,0,1,0.041666667,0,0
549,0,0,1,0.035714286,0,0
550,1,0.052631579,1,0.052631579,0,0
551,1,0.058823529,0,0,0,0
552,1,0.090909091,1,0.090909091,0,0
553,0,0,1,0.166666667,0,0
554,1,0.037037037,3,0.111111111,1,0.037037037
555,1,0.043478261,0,0,1,0.043478261
556,1,0.076923077,0,0,2,0.153846154
557,1,0.083333333,2,0.166666667,0,0
558,1,0.05,1,0.05,0,0
559,2,0.166666667,0,0,0,0
560,1,0.090909091,0,0,1,0.090909091
561,1,0.2,1,0.2,0,0
562,1,0.025641026,0,0,0,0
563,1,0.076923077,3,0.230769231,1,0.076923077
564,1,0.071428571,0,0,2,0.142857143
565,1,0.071428571,0,0,0,0
566,1,0.090909091,0,0,0,0
567,1,0.052631579,2,0.105263158,0,0
568,0,0,0,0,0,0
569,0,0,2,0.090909091,3,0.136363636
570,0,0,4,0.2,0,0
571,0,0,0,0,1,0.1
572,0,0,0,0,1,0.2
573,0,0,0,0,0,0
574,1,0.090909091,2,0.181818182,0,0
575,2,0.166666667,3,0.25,0,0
576,0,0,1,0.083333333,0,0
577,0,0,1,0.066666667,1,0.066666667
578,1,0.047619048,2,0.095238095,1,0.047619048
579,0,0,1,0.125,0,0
580,0,0,1,0.041666667,0,0
581,0,0,3,0.130434783,0,0
582,1,0.166666667,1,0.166666667,1,0.166666667
583,1,0.142857143,1,0.142857143,0,0
584,0,0,1,0.052631579,0,0
585,1,0.090909091,1,0.090909091,0,0
586,0,0,1,0.035714286,1,0.035714286
587,0,0,0,0,1,0.04
588,3,0.5,0,0,0,0
589,1,0.047619048,1,0.047619048,0,0
590,1,0.111111111,1,0.111111111,1,0.111111111
591,3,0.25,3,0.25,0,0
592,1,0.055555556,1,0.055555556,1,0.055555556
594,1,0.142857143,1,0.142857143,1,0.142857143
595,1,0.052631579,0,0,1,0.052631579
596,0,0,0,0,0,0
597,1,0.142857143,1,0.142857143,0,0
598,1,0.035714286,1,0.035714286,0,0
599,2,0.133333333,2,0.133333333,0,0
600,1,0.090909091,1,0.090909091,0,0
601,1,0.076923077,2,0.153846154,0,0
602,1,0.0625,1,0.0625,1,0.0625
603,1,0.166666667,1,0.166666667,0,0
604,0,0,1,0.111111111,1,0.111111111
605,1,0.058823529,1,0.058823529,1,0.058823529
606,1,0.058823529,2,0.117647059,0,0
607,0,0,0,0,0,0
608,1,0.125,0,0,0,0
609,1,0.066666667,1,0.066666667,1,0.066666667
610,1,0.142857143,0,0,0,0
611,1,0.058823529,2,0.117647059,2,0.117647059
612,1,0.076923077,1,0.076923077,0,0
613,0,0,1,0.125,0,0
614,1,0.083333333,1,0.083333333,1,0.083333333
615,1,0.142857143,0,0,0,0
616,1,0.25,1,0.25,0,0
617,1,0.052631579,1,0.052631579,0,0
618,0,0,2,0.111111111,0,0
619,0,0,0,0,1,0.045454545
620,0,0,0,0,0,0
621,0,0,0,0,1,0.038461538
622,0,0,0,0,1,0.111111111
623,0,0,0,0,1,0.083333333
624,1,0.142857143,1,0.142857143,0,0
625,2,0.076923077,2,0.076923077,2,0.076923077
626,2,0.090909091,1,0.045454545,1,0.045454545
627,1,0.090909091,2,0.181818182,0,0
628,1,0.045454545,4,0.181818182,0,0
629,1,0.142857143,1,0.142857143,0,0
630,0,0,1,0.090909091,0,0
631,0,0,0,0,1,0.0625
632,0,0,2,0.142857143,1,0.071428571
633,0,0,0,0,0,0
634,1,0.333333333,0,0,0,0
635,1,0.05,3,0.15,0,0
636,1,0.25,3,0.75,0,0
637,1,0.1,1,0.1,1,0.1
638,1,0.1,1,0.1,2,0.2
639,1,0.055555556,0,0,0,0
640,0,0,0,0,0,0
641,0,0,1,0.111111111,0,0
642,1,0.055555556,2,0.111111111,0,0
643,1,0.066666667,1,0.066666667,0,0
644,1,0.090909091,1,0.090909091,1,0.090909091
645,1,0.038461538,5,0.192307692,1,0.038461538
646,1,0.076923077,0,0,0,0
647,0,0,2,0.1,1,0.05
648,1,0.03125,3,0.09375,2,0.0625
649,1,0.041666667,2,0.083333333,0,0
650,1,0.1,3,0.3,0,0
651,1,0.125,1,0.125,0,0
652,4,0.210526316,1,0.052631579,1,0.052631579
653,1,0.033333333,1,0.033333333,1,0.033333333
654,0,0,1,0.05,1,0.05
655,1,0.043478261,6,0.260869565,1,0.043478261
656,1,0.066666667,2,0.133333333,0,0
657,1,0.5,1,0.5,0,0
658,0,0,0,0,1,0.1
659,1,0.037037037,2,0.074074074,1,0.037037037
660,0,0,0,0,1,0.0625
661,1,0.04,1,0.04,2,0.08
662,1,0.076923077,1,0.076923077,0,0
663,1,0.0625,0,0,1,0.0625
664,1,0.076923077,3,0.230769231,0,0
665,1,0.142857143,1,0.142857143,1,0.142857143
666,1,0.058823529,1,0.058823529,0,0
667,0,0,2,0.117647059,1,0.058823529
668,1,0.090909091,1,0.090909091,0,0
669,1,0.071428571,0,0,1,0.071428571
670,0,0,0,0,1,0.058823529
671,1,0.166666667,0,0,0,0
672,2,0.333333333,1,0.166666667,0,0
673,1,0.041666667,3,0.125,1,0.041666667
674,1,0.0625,1,0.0625,0,0
675,1,0.166666667,0,0,0,0
676,1,0.055555556,1,0.055555556,2,0.111111111
677,1,0.5,0,0,0,0
678,0,0,0,0,0,0
679,2,0.166666667,1,0.083333333,0,0
680,0,0,1,0.0625,0,0
681,1,0.142857143,1,0.142857143,0,0
682,1,0.045454545,2,0.090909091,1,0.045454545
683,1,0.2,0,0,1,0.2
684,0,0,0,0,0,0
685,1,0.058823529,1,0.058823529,2,0.117647059
686,0,0,0,0,0,0
687,0,0,2,0.083333333,0,0
688,0,0,0,0,0,0
689,0,0,0,0,2,0.076923077
690,0,0,1,0.083333333,2,0.166666667
691,0,0,0,0,0,0
692,1,0.0625,2,0.125,1,0.0625
693,0,0,1,0.166666667,0,0
694,0,0,1,0.1,0,0
695,1,0.045454545,1,0.045454545,1,0.045454545
